,M001136
2025-03-04,-0.03761418586108054
2025-03-05,-0.0016796255294789651
2025-03-06,-0.002820621606830679
2025-03-07,-0.014364209249700891
2025-03-10,-0.019460850111559045
2025-03-11,-0.015465842283543004
2025-03-12,0.02119930961175395
2025-03-13,-0.009742645115152933
2025-03-14,-0.005323629305337322
2025-03-17,0.01188852707773994
2025-03-18,0.004525265601840679
2025-03-19,-0.0017484957561081814
2025-03-20,0.002735245577551109
2025-03-21,-0.004099784112336584
2025-03-24,0.024045507113629214
2025-03-25,0.01023795459379343
2025-03-26,-0.0012327630900903308
2025-03-27,-0.023073456121151397
2025-03-28,-0.006575884252920448
2025-03-31,-0.033408887792769286
2025-04-01,0.013441507045867884
2025-04-02,-0.003280342726144236
2025-04-03,-0.02225698969582906
2025-04-04,-0.042988171016373616
2025-04-07,-0.07204170759237313
2025-04-08,0.08567314144838038
2025-04-09,-0.05630160375736212
2025-04-10,0.08912272680856359
2025-04-11,-0.01788846522170701
2025-04-14,0.04297609371291983
2025-04-15,-0.009200913663658356
2025-04-16,-0.015232161784086207
2025-04-17,0.002802930850387903
2025-04-18,0.0
2025-04-21,0.0
2025-04-22,-0.004186147437047818
2025-04-23,0.05064146670658253
2025-04-24,-0.009559302174928666
2025-04-25,0.026136793841418912
2025-04-28,0.007830127979154394
2025-04-29,-0.003343669946121796
2025-04-30,-0.007537311656768126
2025-05-01,0.03109346283305058
2025-05-02,0.009613399843700745
2025-05-05,-0.004244378304160951
2025-05-06,-0.0043238666506501214
2025-05-07,0.003820883483339024
2025-05-08,0.010570304564337428
2025-05-09,0.005996004102732367
2025-05-12,0.029363366934352517
2025-05-13,0.007288458842561608
2025-05-14,0.009653810250953224
2025-05-15,-0.003599143862601783
2025-05-16,0.012305416434512786
2025-05-19,-0.008680336211239734
2025-05-20,0.01006707071731417
2025-05-21,-0.00856545275453421
2025-05-22,-0.010639214019881934
2025-05-23,-0.014737595472066559
2025-05-26,0.0
2025-05-27,0.0
2025-05-28,0.008478221847125279
2025-05-29,0.002831417613033932
2025-05-30,-0.011540290630365208
2025-06-02,0.0003775935887794069
2025-06-03,0.007317353032665498
2025-06-04,0.007873382789202714
2025-06-05,0.004057394593328175
2025-06-06,0.002332199384953599
2025-06-09,0.0025433130939342048
2025-06-10,0.005703543763048712
2025-06-11,0.004434065315899884
2025-06-12,-0.010346522338760327
2025-06-13,-0.004002804940354002
2025-06-16,0.0033424643045891866
2025-06-17,-0.0016106997709284324
2025-06-18,-0.0030591966158084747
2025-06-19,0.0
2025-06-20,0.0
2025-06-23,-0.006634418815952921
2025-06-24,0.01723112813099849
2025-06-25,0.003728916396182082
2025-06-26,-0.00045295070544938286
2025-06-27,0.00666720545738263
2025-06-30,0.004092108848460593
2025-07-01,-0.0008787398837083491
2025-07-02,0.009569825830361747
2025-07-03,0.007662263010806599
2025-07-04,0.0
2025-07-07,0.0
2025-07-08,-0.0047002192247517826
2025-07-09,0.005127509616293829
