Congress,Committee code,ID #,Name,Maj/Min,Rank Within Party Status,Party,Date of Assignment,Date of Termination,Senior Party Member,Committee Seniority,Committee Period of Service,Committee status at end of this Congress,Committee continuity of assignment in next Congress,Appointment Citation,Committee Name,State,CD,State Name,Notes,,,,,,,,,
112,104,20103,"Honda, Mike",2,20,100,1/10/11,1/3/13,0,3,2,1,1,HRES31,Appropriations,71,15,CA,,,,,,,,,,
112,104,20122,"McCollum, Betty",2,21,100,1/10/11,1/3/13,0,3,2,1,1,HRES31,Appropriations,33,4,MN,,,,,,,,,,
112,106,29315,"McKeon, Howard P. (Buck)",1,1,200,1/4/11,1/3/13,11,3,4,1,1,HRES6,Armed Services,71,25,CA,,,,,,,,,,
112,106,29356,"Bartlett, Roscoe G.",1,2,200,1/11/11,1/3/13,0,10,2,1,0,HRES33,Armed Services,52,6,MD,Defeated for reelection,,,,,,,,,
112,106,29572,"Thornberry, William M. (Mac)",1,3,200,1/11/11,1/3/13,0,9,2,1,1,HRES33,Armed Services,49,13,TX,,,,,,,,,,
112,106,29546,"Jones, Walter B., Jr.",1,4,200,1/11/11,1/3/13,0,9,2,1,1,HRES33,Armed Services,47,3,NC,,,,,,,,,,
112,106,20123,"Akin, W. Todd",1,5,200,1/11/11,1/3/13,0,6,2,1,0,HRES33,Armed Services,34,2,MO,Unsuccessful candidate for U.S. Senate,,,,,,,,,
112,106,20143,"Forbes, J. Randy",1,6,200,1/11/11,1/3/13,0,6,2,1,1,HRES33,Armed Services,40,4,VA,,,,,,,,,,
112,106,20110,"Miller, Jeff",1,7,200,1/11/11,1/3/13,0,6,2,1,1,HRES33,Armed Services,43,1,FL,,,,,,,,,,
112,106,20138,"Wilson, Addison G. (Joe)",1,8,200,1/11/11,1/3/13,0,6,2,1,1,HRES33,Armed Services,48,2,SC,,,,,,,,,,
112,106,29539,"Lobiondo, Frank A.",1,9,200,1/11/11,1/3/13,0,5,2,1,1,HRES33,Armed Services,12,2,NJ,,,,,,,,,,
112,106,20342,"Turner, Mike",1,10,200,1/11/11,1/3/13,0,5,2,1,1,HRES33,Armed Services,24,3,OH,,,,,,,,,,
112,106,20333,"Kline, John",1,11,200,1/11/11,1/3/13,0,5,2,1,1,HRES33,Armed Services,33,2,MN,,,,,,,,,,
112,106,20301,"Rogers, Mike Dennis",1,12,200,1/11/11,1/3/13,0,5,2,1,1,HRES33,Armed Services,41,3,AL,,,,,,,,,,
112,106,20304,"Franks, Trent",1,13,200,1/11/11,1/3/13,0,5,2,1,1,HRES33,Armed Services,61,2,AZ,,,,,,,,,,
112,106,20134,"Shuster, Bill",1,14,200,1/11/11,1/3/13,0,3,4,1,1,HRES33,Armed Services,14,9,PA,,,,,,,,,,
112,106,20531,"Conaway, K. Michael",1,15,200,1/11/11,1/3/13,0,4,2,1,1,HRES33,Armed Services,49,11,TX,,,,,,,,,,
112,106,20704,"Lamborn, Doug",1,16,200,1/11/11,1/3/13,0,3,2,1,1,HRES33,Armed Services,62,5,CO,,,,,,,,,,
112,106,20756,"Wittman, Robert J.",1,17,200,1/11/11,1/3/13,0,3,2,1,1,HRES33,Armed Services,40,1,VA,,,,,,,,,,
112,106,20963,"Hunter, Duncan",1,18,200,1/11/11,1/3/13,0,2,2,1,1,HRES33,Armed Services,71,52,CA,,,,,,,,,,
112,106,20918,"Fleming, John",1,19,200,1/11/11,1/3/13,0,2,2,1,1,HRES33,Armed Services,45,4,LA,,,,,,,,,,
112,106,20906,"Coffman, Mike",1,20,200,1/11/11,1/3/13,0,2,2,1,1,HRES33,Armed Services,62,6,CO,,,,,,,,,,
112,106,20910,"Rooney, Thomas J.",1,21,200,1/11/11,1/3/13,0,2,2,1,2,HRES33,Armed Services,43,16,FL,Transferred to Appropriations,,,,,,,,,
112,106,20135,"Platts, Todd Russell",1,22,200,1/11/11,1/3/13,0,2,2,1,0,HRES33,Armed Services,14,19,PA,Did not seek reelection,,,,,,,,,
112,106,21185,"Rigell, Scott",1,23,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Armed Services,40,2,VA,,,,,,,,,,
112,106,21156,"Gibson, Chris",1,24,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Armed Services,13,20,NY,,,,,,,,,,
112,106,21149,"Hartzler, Vicky",1,25,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Armed Services,34,4,MO,,,,,,,,,,
112,106,21151,"Heck, Joe",1,26,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Armed Services,65,3,NV,,,,,,,,,,
